206	295	12705
207	17	Standard
207	296	05813
207	297	01542
208	298	07185
208	299	05055
209	300	194701
209	301	01809
210	302	11771
211	254	133720
212	17	Standard
213	17	Standard
214	17	Standard
215	17	Standard
215	303	03927
215	304	01577
216	305	185450
216	306	185445
216	307	185445
217	308	182768
217	309	10366
218	310	10837
219	311	04386
220	312	15218
221	313	10594
222	314	01800
222	315	04212
223	316	12072
224	17	Standard
225	17	Standard
226	317	02045
226	318	00533
227	319	215337
228	320	03183
228	321	01044
229	322	00198
229	323	01903
230	324	00528
230	325	03886
231	17	Standard
232	17	Standard
233	326	01871
233	327	09185
234	328	11401
234	329	02612
235	330	03025
235	331	04572
236	17	Standard
237	332	09083
238	17	Standard
238	333	04788
238	334	09124
239	335	197134
239	336	197134
240	17	Standard
241	17	Standard
242	337	217400
243	17	Standard
243	338	01022
243	339	00365
244	17	Standard
244	340	01577
244	341	07260
245	342	04002
245	343	01706
245	344	01706
246	345	04095
246	346	04199
247	347	09121
248	17	Standard
248	348	00304
248	349	04686
249	17	Standard
250	350	13022
250	351	112078
250	352	05633
250	353	01794
251	354	02913
252	355	01291
252	356	01827
253	17	Standard
254	357	01725
254	358	01737
255	359	02627
256	360	178050
257	361	05406
258	17	Standard
258	362	09991
258	363	00774
259	364	133401
259	365	03926
259	366	01080
259	367	133401
260	17	Standard
260	368	05819
260	369	03239
261	84	218186
262	370	01869
262	371	00150
263	372	10408
264	373	18523
265	374	151575
266	375	210081
266	376	210080
267	377	03374
267	378	01241
268	17	Standard
269	379	02535
269	380	00318
270	381	00948
270	382	02060
271	383	194886
271	384	194886
271	385	217682
272	386	03857
272	387	08970
273	17	Standard
274	388	00243
274	389	01169
275	390	14805
275	391	16425
276	17	Standard
277	17	Standard
278	17	Standard
279	392	216560
280	393	05085
280	394	04199
281	395	06572
281	396	01162
282	397	24543
282	398	24524
282	399	24524
283	17	Standard
284	17	Standard
285	400	01146
285	401	00453
286	402	00113
286	403	01301
287	404	177524
287	405	00100
288	406	03298
288	407	03772
289	408	01216
289	409	01214
290	410	262109
291	411	215898
292	412	02749
292	413	03376
293	414	09524
293	415	02060
294	416	01862
294	417	03028
295	17	Standard
295	418	00212
295	419	00021
296	420	126459
296	421	126459
297	422	11641
298	17	Standard
299	17	Standard
300	17	Standard
301	423	05124
301	424	00278
302	17	Standard
303	425	07185
303	426	00584
304	427	10
304	428	03832
304	429	216525
304	430	01398
305	431	01095
306	17	Standard
307	432	04683
307	433	01557
308	17	Standard
309	434	03921
309	435	01229
310	17	Standard
311	17	Standard
311	436	05188
312	437	193825
313	17	Standard
313	438	01763
313	439	03171
314	440	02780
314	441	01868
315	442	05405
315	443	02582
316	444	209189
317	445	123309
317	17	Standard
317	446	126430
317	447	123309
317	448	02780
317	449	126428
318	17	Standard
319	254	133662
319	450	06288
319	451	06283
320	452	03886
320	453	00309
321	17	Standard
321	454	05084
321	455	04788
322	456	05706
323	457	196358
323	458	03933
323	459	09135
323	460	196358
324	461	02608
325	17	Standard
326	462	04847
327	463	262662
327	464	03431
327	465	03028
327	466	262662
328	17	Standard
328	467	03135
328	468	01817
329	469	07567
329	470	04078
330	471	09168
330	472	09274
331	473	134230
332	474	15651
333	475	185538
334	476	02900
334	477	00579
335	478	01033
335	479	01893
336	480	197196
337	17	Standard
338	17	Standard
338	481	10588
339	482	01885
339	483	06090
340	484	134104
340	485	194865
340	486	134104
340	487	134100
340	488	134098
340	489	134097
341	490	02164
341	491	00558
342	17	Standard
342	492	02651
342	493	02652
343	494	03334
343	495	00015
344	496	05772
345	497	02176
345	498	06060
346	499	217715
346	500	04070
346	501	04078
346	502	217715
347	503	04402
347	504	01885
348	505	03045
348	506	02776
349	507	15995
350	508	54934
350	17	Standard
350	509	00609
350	510	03554
350	511	54934
351	512	04606
351	513	04156
352	514	12292
353	515	09660
354	17	Standard
355	516	178026
355	17	Standard
356	517	01048
356	518	00347
357	17	Standard
358	519	04070
358	520	01302
359	521	04257
359	522	15912
359	523	217329
360	17	Standard
360	524	06103
360	525	03947
361	17	Standard
361	526	05108
361	527	00182
362	528	182628
362	529	03975
362	530	02867
362	531	182628
363	532	05132
363	533	06769
364	534	06182
364	535	02975
365	536	217612
366	17	Standard
366	537	03625
367	538	03596
367	539	01809
368	17	Standard
369	540	06361
369	541	05584
370	17	Standard
370	542	03147
370	543	00302
371	544	01855
371	545	01861
371	546	154040
371	547	198
372	17	Standard
373	548	182336
373	549	182336
374	17	Standard
375	550	12994
375	551	01809
376	552	02164
376	553	00159
377	17	Standard
378	554	05782
378	555	03975
379	17	Standard
379	556	00528
379	557	05383
380	558	16740
380	559	16425
